-----------(INICIO)-PRINT-ANALISE-SEMANTICA------------------

ESTRUTURA      LEXEMA(S)           TIPO                SITUAÇÃO

Main           _teste1             declarada           OK
Main           _teste1             inicializada        OK
Main           _teste2             declarada           OK
Main           _teste2             inicializada        OK
Main           _teste2             declarada           OK
Main           _teste2             inicializada        OK
Main           _teste1             declarada           OK
Main           _teste1             inicializada        OK
Main           _teste_float        declarada           OK
Main           _i                  declarada           OK
Main           _i                  inicializada        OK
Main           _int_local          declarada           OK
Main           _int_local          inicializada        OK
Main           _int_local2         declarada           ERRO

Erro na linha 25 -> Váriavel _int_local2 não declarada. 
